Channel,SellerName,OrInterestRate,OrUnpaidPrinc,OrLoanTerm,OrLTV,OrCLTV,NumBorrow,DTIRat,CreditScore,FTHomeBuyer,LoanPurpose,PropertyType,NumUnits,OccStatus,PropertyState,Zip,RelMortInd,OrDateMonth,OrDateYear,FirstPaymentMonth,FirstPaymentYear
R,"BANK OF AMERICA, N.A.",6.875,90000,360,39,39.0,1.0,27.0,629.0,N,C,SF,1,P,NV,891,N,10,2007,12,2007
B,"CITIMORTGAGE, INC.",6.75,254000,360,42,42.0,1.0,45.0,666.0,N,C,SF,1,P,NJ,77,N,9,2007,11,2007
R,OTHER,6.375,167000,360,95,95.0,2.0,26.0,788.0,N,P,SF,1,P,MO,651,N,11,2007,1,2008
R,"PNC BANK, N.A.",6.875,95000,360,88,97.0,1.0,17.0,685.0,N,R,SF,1,P,GA,302,N,8,2007,10,2007
R,"WELLS FARGO BANK, N.A.",6.0,320000,120,39,39.0,1.0,50.0,662.0,N,R,PU,1,P,VA,223,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.25,193000,360,95,95.0,1.0,52.0,671.0,N,R,CO,1,P,IL,601,N,12,2007,2,2008
C,"GMAC MORTGAGE, LLC",7.375,237000,360,78,78.0,2.0,44.0,664.0,N,R,SF,1,P,IL,604,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",6.0,320000,360,79,79.0,2.0,35.0,808.0,N,P,SF,1,P,IL,600,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",6.125,417000,360,44,44.0,3.0,38.670606328740575,780.0,N,P,PU,1,I,CA,926,N,11,2007,1,2008
C,"GMAC MORTGAGE, LLC",6.375,344000,360,80,80.0,2.0,55.0,708.0,N,P,SF,1,P,FL,331,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.625,139000,360,80,80.0,1.0,23.0,679.0,N,C,SF,1,P,AZ,856,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.375,122000,360,77,77.0,1.0,26.0,787.0,Y,P,SF,1,P,IA,502,N,8,2007,10,2007
B,OTHER,7.75,127000,360,90,90.0,1.0,28.0,764.0,N,P,SF,2,I,TX,770,N,10,2007,12,2007
C,"CITIMORTGAGE, INC.",6.375,417000,360,66,66.0,2.0,39.0,801.0,N,P,SF,1,P,PA,193,N,9,2007,11,2007
C,"BANK OF AMERICA, N.A.",6.25,182000,360,69,69.0,2.0,41.0,765.0,N,C,SF,1,P,OR,974,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.5,271000,360,80,80.0,1.0,25.0,632.0,Y,P,CO,1,P,FL,331,N,10,2007,12,2007
C,"CITIMORTGAGE, INC.",6.875,164000,360,80,80.0,2.0,11.0,722.0,N,P,SF,1,S,WI,538,N,9,2007,11,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.375,272000,360,92,92.0,2.0,50.0,680.0,N,R,PU,1,P,AZ,852,N,8,2007,10,2007
R,OTHER,6.75,344000,360,80,80.0,1.0,49.0,698.0,N,C,PU,1,P,FL,334,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",5.875,269000,360,73,73.0,2.0,45.0,742.0,N,C,SF,1,P,CA,925,N,10,2007,12,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.375,315000,360,77,77.0,2.0,26.0,789.0,N,P,PU,1,P,TX,774,N,10,2007,12,2007
R,OTHER,5.75,485000,360,70,70.0,2.0,44.0,694.0,N,C,SF,1,P,HI,967,N,10,2007,12,2007
C,AMTRUST BANK,6.875,143000,360,75,75.0,2.0,55.0,681.0,N,C,SF,1,I,FL,328,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.25,260000,360,80,90.0,2.0,47.0,796.0,N,P,PU,1,P,CO,800,N,9,2007,11,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",7.0,114000,240,70,70.0,1.0,44.0,638.0,N,C,SF,1,S,GA,305,N,9,2007,11,2007
C,"WELLS FARGO BANK, N.A.",6.25,232000,360,80,80.0,2.0,40.0,768.0,Y,P,SF,1,P,SD,571,N,9,2007,11,2007
C,"BANK OF AMERICA, N.A.",5.375,195000,180,52,52.0,2.0,21.0,760.0,N,C,SF,1,P,IL,604,N,12,2007,2,2008
R,SUNTRUST MORTGAGE INC.,6.375,148000,360,78,78.0,1.0,38.0,711.0,N,C,SF,1,P,FL,328,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.25,130000,240,61,61.0,1.0,35.0,575.0,N,C,MH,1,P,UT,840,N,11,2007,2,2008
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.0,110000,360,80,80.0,1.0,27.0,799.0,N,P,SF,1,P,IA,520,N,6,2007,8,2007
R,"PNC BANK, N.A.",6.75,279000,360,80,95.0,2.0,48.0,787.0,N,P,CO,1,P,CA,921,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.75,146000,360,80,80.0,2.0,31.0,772.0,N,P,SF,1,P,WI,532,N,7,2007,9,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.75,187000,360,90,90.0,2.0,44.0,708.0,N,C,SF,1,P,IN,462,N,6,2007,8,2007
B,"WELLS FARGO BANK, N.A.",6.25,295000,360,95,95.0,1.0,49.0,772.0,Y,P,SF,1,P,NY,128,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.75,153000,360,95,95.0,1.0,54.0,668.0,N,R,SF,1,P,MO,658,N,8,2007,10,2007
C,"GMAC MORTGAGE, LLC",6.125,280000,360,79,79.0,2.0,31.0,714.0,N,C,SF,1,P,CA,958,N,9,2007,11,2007
R,OTHER,6.5,199000,360,57,67.0,2.0,15.0,772.0,N,R,PU,1,P,NC,276,N,9,2007,11,2007
R,"PNC BANK, N.A.",6.875,81000,360,20,20.0,1.0,31.0,643.0,N,C,SF,1,P,PA,189,N,8,2007,10,2007
B,"CITIMORTGAGE, INC.",6.875,194000,360,87,87.0,1.0,31.0,745.0,N,R,CO,1,P,IL,601,N,11,2007,1,2008
C,FLAGSTAR CAPITAL MARKETS CORPORATION,6.875,137000,360,80,80.0,1.0,29.0,640.0,N,C,PU,1,P,TX,774,N,9,2007,11,2007
C,"WELLS FARGO BANK, N.A.",6.25,178000,180,76,76.0,2.0,43.0,675.0,N,C,SF,1,P,UT,846,N,9,2007,11,2007
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.5,368000,360,80,80.0,1.0,47.0,649.0,N,C,SF,1,P,NY,114,N,12,2007,2,2008
R,"BANK OF AMERICA, N.A.",6.375,230000,360,73,73.0,1.0,50.0,630.0,N,C,SF,1,P,PA,190,N,12,2007,2,2008
R,OTHER,6.75,64000,360,77,77.0,1.0,58.0,684.0,Y,P,SF,1,P,AR,720,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",6.5,225000,360,77,77.0,2.0,46.0,688.0,N,C,SF,1,P,WA,985,N,11,2007,1,2008
B,"PNC BANK, N.A.",6.125,98000,360,80,80.0,1.0,33.0,776.0,Y,P,SF,1,P,OH,441,N,10,2007,12,2007
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5.875,197000,360,61,61.0,1.0,33.0,718.0,N,R,SF,1,P,OR,972,N,10,2007,12,2007
B,SUNTRUST MORTGAGE INC.,6.375,120000,360,80,80.0,2.0,51.0,625.0,N,P,SF,1,P,SD,577,N,11,2007,1,2008
R,OTHER,6.375,179000,359,75,75.0,2.0,40.0,787.0,N,P,SF,1,P,WI,547,N,11,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.75,256000,180,90,90.0,2.0,38.0,758.0,N,C,CO,1,P,VA,235,N,9,2007,11,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.25,110000,180,56,56.0,2.0,58.0,747.0,N,C,SF,1,P,PA,175,N,9,2007,11,2007
C,AMTRUST BANK,6.375,118000,360,80,80.0,1.0,23.0,761.0,N,C,SF,1,P,IN,460,N,8,2007,11,2007
R,OTHER,6.5,206000,360,36,36.0,1.0,54.0,661.0,N,R,SF,1,P,FL,325,N,10,2007,12,2007
B,"CITIMORTGAGE, INC.",6.5,287000,360,60,60.0,2.0,60.0,777.0,N,C,SF,1,P,NJ,73,N,8,2007,11,2007
R,OTHER,6.75,117000,360,60,60.0,2.0,28.0,706.0,N,C,SF,1,P,MI,488,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",6.75,88000,180,49,49.0,1.0,17.0,768.0,N,C,PU,1,P,PA,193,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.75,317000,360,95,95.0,1.0,34.0,726.0,N,P,PU,1,P,PA,170,N,11,2007,12,2007
C,"BANK OF AMERICA, N.A.",6.375,118000,360,74,74.0,2.0,16.0,746.0,N,R,SF,1,P,OH,454,N,11,2007,1,2008
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5.875,290000,360,66,71.0,2.0,56.0,782.0,N,R,SF,1,P,MN,565,N,9,2007,11,2007
C,"CITIMORTGAGE, INC.",6.0,314000,360,80,80.0,1.0,50.0,728.0,N,P,PU,1,P,CA,956,N,10,2007,12,2007
C,"GMAC MORTGAGE, LLC",6.875,105000,360,78,78.0,2.0,19.0,625.0,N,R,SF,1,P,SC,295,N,9,2007,11,2007
R,OTHER,6.25,80000,360,38,38.0,1.0,48.0,813.0,Y,P,CO,1,P,CT,64,N,11,2007,1,2008
C,"BANK OF AMERICA, N.A.",6.25,110000,360,88,88.0,1.0,44.0,816.0,N,C,SF,1,P,IL,619,N,10,2007,12,2007
R,"WELLS FARGO BANK, N.A.",5.75,199000,360,50,50.0,2.0,20.0,788.0,N,P,PU,1,P,CO,801,Y,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.375,309000,360,62,62.0,2.0,27.0,588.0,N,R,SF,1,P,MA,21,N,8,2007,10,2007
R,"CHASE HOME FINANCE, LLC",6.125,110000,360,80,80.0,2.0,38.0,792.0,N,P,PU,1,P,IN,460,N,10,2007,12,2007
B,"FDIC, RECEIVER, INDYMAC FEDERAL BANK FSB",6.375,100000,360,80,80.0,1.0,25.0,745.0,Y,P,PU,1,P,NC,272,N,12,2007,2,2008
R,"CHASE HOME FINANCE, LLC",6.375,80000,360,63,63.0,1.0,46.0,757.0,N,P,SF,1,P,NC,271,N,10,2007,12,2007
C,"CITIMORTGAGE, INC.",6.0,325000,360,65,65.0,2.0,26.0,794.0,N,P,SF,1,P,PA,193,N,9,2007,11,2007
C,"GMAC MORTGAGE, LLC",6.375,115000,180,77,77.0,2.0,25.0,794.0,N,R,SF,1,P,NE,680,N,11,2007,1,2008
R,OTHER,7.375,182000,360,90,90.0,1.0,38.670606328740575,622.0,N,C,PU,1,P,OK,730,N,10,2007,12,2007
C,"BANK OF AMERICA, N.A.",7.375,92000,360,70,70.0,1.0,37.0,646.0,N,C,SF,1,P,NY,146,N,7,2007,9,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.375,230000,360,80,80.0,1.0,58.0,761.0,N,P,CO,1,P,IL,606,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.125,200000,360,80,80.0,1.0,46.0,661.0,N,R,SF,1,P,CA,958,N,11,2007,1,2008
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,185000,360,67,67.0,1.0,57.0,670.0,N,C,SF,1,P,IL,601,N,9,2007,11,2007
R,"BANK OF AMERICA, N.A.",6.375,144000,360,80,80.0,2.0,24.0,812.0,N,P,SF,1,I,ID,837,N,11,2007,1,2008
R,OTHER,6.125,270000,360,80,80.0,1.0,21.0,740.0,N,P,CO,1,P,WA,980,N,11,2007,1,2008
B,"BANK OF AMERICA, N.A.",6.625,201000,360,90,90.0,1.0,55.0,638.0,N,C,SF,1,P,WI,530,N,9,2007,11,2007
R,OTHER,6.75,23000,360,90,90.0,1.0,36.0,711.0,N,P,SF,2,I,AR,717,N,8,2007,10,2007
C,"CITIMORTGAGE, INC.",6.375,185000,360,80,80.0,2.0,29.0,813.0,N,P,SF,1,P,NY,145,N,10,2007,12,2007
R,"WELLS FARGO BANK, N.A.",6.375,120000,360,67,67.0,1.0,38.670606328740575,623.0,N,C,SF,1,P,SC,290,N,10,2007,12,2007
R,OTHER,6.5,317000,360,59,59.0,2.0,21.0,780.0,Y,P,SF,1,P,VA,220,N,8,2007,10,2007
C,OTHER,6.25,181000,360,76,76.0,2.0,44.0,654.0,N,R,SF,1,P,IA,527,N,11,2007,1,2008
R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,212000,360,80,80.0,3.0,30.0,692.0,N,P,PU,1,I,TX,775,N,11,2007,1,2008
R,OTHER,6.375,369000,360,50,57.0,2.0,59.0,785.0,N,C,SF,1,P,CA,943,N,12,2007,2,2008
C,"BANK OF AMERICA, N.A.",5.99,143000,180,61,61.0,2.0,28.0,733.0,N,C,SF,1,P,FL,331,N,11,2007,1,2008
C,"CITIMORTGAGE, INC.",6.125,218000,360,79,89.0,1.0,20.0,790.0,Y,P,CO,1,P,GA,303,N,10,2007,12,2007
R,"BANK OF AMERICA, N.A.",6.25,417000,360,72,90.0,1.0,49.0,683.0,N,R,SF,1,P,CA,935,N,10,2007,12,2007
C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",6.5,166000,360,80,80.0,2.0,21.0,732.0,Y,P,SF,1,P,TX,787,N,8,2007,10,2007
C,"BANK OF AMERICA, N.A.",6.875,86000,360,51,51.0,1.0,45.0,673.0,N,C,SF,1,P,NJ,80,N,8,2007,10,2007
R,FLAGSTAR CAPITAL MARKETS CORPORATION,7.25,30000,360,43,43.0,1.0,61.0,586.0,Y,P,SF,1,P,MI,495,N,11,2007,1,2008
